annual_meeting_id,contact_id,program_id,attended,rating,feedback_comment
AM-2025,P00133,PGM2025-06,True,4,Great insights on AI.
AM-2025,P00133,PGM2025-11,True,4,
AM-2025,P00133,PGM2025-13,True,3,More time for Q&A please.
AM-2025,P00133,PGM2025-15,True,4,Very practical.
AM-2025,P00133,PGM2025-22,True,5,Too salesy.
AM-2025,P00133,PGM2025-04,True,5,Made me re-think our approach.
AM-2025,P00133,PGM2025-17,True,5,Excellent peer discussion.
AM-2025,P00133,PGM2025-08,True,1,Good moderation.
AM-2025,P00133,PGM2025-09,True,5,More examples needed.
AM-2025,P00156,PGM2025-16,True,4,Strong speakers.
AM-2025,P00156,PGM2025-13,True,4,Loved the case study.
AM-2025,P00156,PGM2025-05,True,3,
AM-2025,P00156,PGM2025-14,True,5,Good moderation.
AM-2025,P00156,PGM2025-22,True,5,Loved the case study.
AM-2025,P00156,PGM2025-06,True,1,Great insights on policy.
AM-2025,P00156,PGM2025-15,True,5,Too salesy.
AM-2024,P00226,PGM2024-08,True,3,Loved the case study.
AM-2024,P00226,PGM2024-20,True,4,Great insights on AI.
AM-2024,P00226,PGM2024-22,True,5,More examples needed.
AM-2024,P00226,PGM2024-21,True,4,Loved the case study.
AM-2024,P00226,PGM2024-15,True,4,Would value a deeper dive next time.
AM-2024,P00226,PGM2024-13,True,5,Very practical.
AM-2025,P00322,PGM2025-12,True,4,Great insights on AI.
AM-2025,P00322,PGM2025-11,True,1,
AM-2025,P00322,PGM2025-03,True,5,Great insights on AI.
AM-2025,P00322,PGM2025-10,True,5,Great insights on AI.
AM-2025,P00322,PGM2025-04,True,2,
AM-2025,P00285,PGM2025-03,True,3,Loved the case study.
AM-2025,P00285,PGM2025-19,True,4,Great insights on policy.
AM-2025,P00285,PGM2025-02,True,5,Very practical.
AM-2025,P00285,PGM2025-17,True,4,Too salesy.
AM-2025,P00285,PGM2025-14,True,4,More examples needed.
AM-2025,P00285,PGM2025-07,True,5,Too salesy.
AM-2025,P00285,PGM2025-01,True,3,Very practical.
AM-2025,P00382,PGM2025-21,True,5,
AM-2025,P00382,PGM2025-20,True,4,Very practical.
AM-2025,P00382,PGM2025-07,True,4,Too salesy.
AM-2025,P00382,PGM2025-18,True,5,Loved the case study.
AM-2025,P00382,PGM2025-09,True,5,Excellent peer discussion.
AM-2025,P00382,PGM2025-22,True,4,Great insights on policy.
AM-2025,P00417,PGM2025-10,True,3,Too salesy.
AM-2025,P00417,PGM2025-01,True,5,More time for Q&A please.
AM-2025,P00417,PGM2025-20,True,5,Good moderation.
AM-2025,P00417,PGM2025-04,True,4,Great insights on AI.
AM-2025,P00417,PGM2025-21,True,5,Useful benchmarks for my team.
AM-2025,P00417,PGM2025-13,True,5,Good moderation.
AM-2025,P00417,PGM2025-14,True,4,
AM-2025,P00417,PGM2025-12,True,4,
AM-2025,P00417,PGM2025-08,True,5,Great insights on AI.
AM-2025,P00071,PGM2025-19,True,3,Too salesy.
AM-2025,P00071,PGM2025-09,True,5,Too salesy.
AM-2025,P00071,PGM2025-18,True,5,Made me re-think our approach.
AM-2025,P00071,PGM2025-15,True,2,Made me re-think our approach.
AM-2025,P00071,PGM2025-01,True,4,Would value a deeper dive next time.
AM-2025,P00071,PGM2025-10,True,5,Great insights on AI.
AM-2024,P00368,PGM2024-01,True,4,Excellent peer discussion.
AM-2024,P00368,PGM2024-17,True,4,Loved the case study.
AM-2024,P00368,PGM2024-14,True,5,Loved the case study.
AM-2024,P00368,PGM2024-04,True,3,Very practical.
AM-2024,P00368,PGM2024-16,True,2,More examples needed.
AM-2024,P00368,PGM2024-03,True,3,Very practical.
AM-2024,P00368,PGM2024-19,True,2,Would value a deeper dive next time.
AM-2024,P00368,PGM2024-05,True,4,Too salesy.
AM-2024,P00368,PGM2024-22,True,4,Good moderation.
AM-2024,P00368,PGM2024-07,True,4,Useful benchmarks for my team.
AM-2024,P00147,PGM2024-17,True,4,Very practical.
AM-2024,P00147,PGM2024-14,True,5,Very practical.
AM-2024,P00147,PGM2024-19,True,4,
AM-2024,P00147,PGM2024-20,True,5,Too salesy.
AM-2024,P00147,PGM2024-06,True,5,Too salesy.
AM-2024,P00147,PGM2024-22,True,5,More examples needed.
AM-2024,P00147,PGM2024-01,True,4,Excellent peer discussion.
AM-2024,P00147,PGM2024-02,True,5,Too salesy.
AM-2024,P00147,PGM2024-03,True,5,More examples needed.
AM-2025,P00408,PGM2025-05,True,1,Too salesy.
AM-2025,P00408,PGM2025-17,True,4,More examples needed.
AM-2025,P00408,PGM2025-16,True,4,Very practical.
AM-2025,P00408,PGM2025-07,True,4,Great insights on AI.
AM-2025,P00408,PGM2025-10,True,4,Very practical.
AM-2025,P00408,PGM2025-21,True,5,Strong speakers.
AM-2025,P00408,PGM2025-01,True,5,Great insights on policy.
AM-2025,P00408,PGM2025-13,True,5,Too salesy.
AM-2025,P00408,PGM2025-04,True,5,More examples needed.
AM-2025,P00261,PGM2025-08,True,4,Strong speakers.
AM-2025,P00261,PGM2025-14,True,5,Loved the case study.
AM-2025,P00261,PGM2025-19,True,4,
AM-2025,P00261,PGM2025-13,True,5,Great insights on AI.
AM-2025,P00261,PGM2025-03,True,2,More time for Q&A please.
AM-2025,P00261,PGM2025-18,True,5,
AM-2025,P00261,PGM2025-04,True,4,Good moderation.
AM-2025,P00261,PGM2025-02,True,4,Speaker was excellent.
AM-2024,P00138,PGM2024-02,True,5,Good moderation.
AM-2024,P00138,PGM2024-05,True,5,Good moderation.
AM-2024,P00138,PGM2024-20,True,5,More examples needed.
AM-2024,P00138,PGM2024-17,True,5,More examples needed.
AM-2024,P00138,PGM2024-08,True,4,Very practical.
AM-2025,P00134,PGM2025-12,True,5,Strong speakers.
AM-2025,P00134,PGM2025-05,True,3,Loved the case study.
AM-2025,P00134,PGM2025-11,True,5,Great insights on AI.
AM-2025,P00134,PGM2025-15,True,3,Excellent peer discussion.
AM-2025,P00134,PGM2025-06,True,4,Strong speakers.
AM-2025,P00134,PGM2025-19,True,5,Very practical.
