prospect_id,referrer_member_id,contact_id,annual_meeting_id,first_touch,interest_score,note
PRO25PEUKD,M040,P00324,AM-2024,2025-06-25T20:22:00,4,Wants case study
PROQXOCVX8,M040,P00065,AM-2024,2025-06-25T18:54:00,1,Interested in certification track
PROVTBEOFT,M040,P00080,AM-2024,2025-06-25T19:07:00,5,Follow up after event
PROL2OEUVO,M040,P00415,AM-2025,2025-06-25T13:28:00,3,Wants case study
PRO2VD7PV9,M040,P00246,AM-2025,2025-06-25T14:57:00,3,Interested in demo
PROUWO3SPW,M040,P00019,AM-2024,2025-06-25T20:39:00,5,Asked about corporate tier
PROES1I8CF,M040,P00016,AM-2025,2025-06-25T19:08:00,3,Follow up after event
PROG2ZM2XV,M040,P00350,AM-2024,2025-06-25T15:06:00,4,Interested in demo
PROVM6RQBP,M040,P00232,AM-2024,2025-06-25T20:49:00,2,Asked about corporate tier
PROEVMTXAB,M040,P00363,AM-2025,2025-06-25T13:43:00,4,Wants case study
PROIP3L8D6,M040,P00347,AM-2025,2025-06-25T09:58:00,1,Wants case study
PROQSNIVEE,M040,P00312,AM-2025,2025-06-25T19:31:00,4,Lapsed last year — re-engaging
PROQ2M9MJN,M040,P00084,AM-2025,2025-06-25T19:07:00,3,Interested in demo
PRO62UKAE3,M040,P00419,AM-2024,2025-06-25T13:55:00,3,Considering upgrade to Enterprise
PRO7PN63YK,M040,P00328,AM-2025,2025-06-25T10:49:00,4,Interested in demo
PROJGULH5N,M040,P00201,AM-2025,2025-06-25T09:03:00,4,Wants to host a chapter event
PRO5GPGLAR,M040,P00127,AM-2025,2025-06-25T17:23:00,2,Asked about pricing
PRO378NTO2,M040,P00269,AM-2025,2025-06-25T11:52:00,5,Follow up after event
PROQT9MAN5,M040,P00380,AM-2025,2025-06-25T10:38:00,3,Wants case study
PRO7JTNF8O,M040,P00037,AM-2025,2025-06-25T20:05:00,5,Interested in demo
PROYYNZMID,M040,P00244,AM-2025,2025-06-25T18:26:00,2,Wants to host a chapter event
PROKKNO9ST,M040,P00200,AM-2025,2025-06-25T15:50:00,1,Renewal candidate
PRO3SSMGHD,M040,P00320,AM-2025,2025-06-25T13:51:00,5,
PROOUE1QWP,M040,P00228,AM-2025,2025-06-25T14:12:00,4,Follow up after event
PRO51EN6NX,M040,P00099,AM-2025,2025-06-25T16:38:00,1,Interested in certification track
PROXN4KLZI,M040,P00141,AM-2025,2025-06-25T17:14:00,4,Interested in demo
PROILTWFFI,M040,P00181,AM-2024,2025-06-25T14:52:00,3,Wants case study
PROUF03V3V,M040,P00371,AM-2025,2025-06-25T19:23:00,3,Referred by current member
PROAVM1RHD,M040,P00336,AM-2025,2025-06-25T13:17:00,3,Asked about pricing
PROTCRN942,M040,P00376,AM-2025,2025-06-25T13:00:00,1,Interested in demo
PROX3I7KX7,M040,P00105,AM-2025,2025-06-25T11:56:00,2,Asked about pricing
PRO2UD9211,M040,P00028,AM-2025,2025-06-25T09:58:00,4,Considering upgrade to Enterprise
PROBSAC7E3,M040,P00202,AM-2025,2025-06-25T18:38:00,3,Interested in demo
PROQJEX1OD,M040,P00118,AM-2024,2025-06-25T13:43:00,5,Requested member-only research
PRO1O5OAH6,M040,P00061,AM-2025,2025-06-25T12:54:00,3,
PRO36MBFNG,M040,P00030,AM-2025,2025-06-25T12:48:00,4,Wants case study
PRO41TSXGI,M040,P00272,AM-2025,2025-06-25T21:00:00,4,Asked about pricing
PROMFMXJY8,M040,P00339,AM-2024,2025-06-25T09:10:00,1,Follow up after event
