sponsor_id,company_id,tier,fee_eur,booth
SP001,C040,Silver,35000,B19
SP002,C046,Bronze,18000,B18
SP003,C053,Silver,35000,B04
SP004,C026,Bronze,18000,B09
SP005,C030,Gold,60000,B28
SP006,C048,Gold,60000,B12
SP007,C051,Media Partner,0,B20
SP008,C049,Bronze,18000,B18
SP009,C019,Silver,35000,B16
SP010,C007,Silver,35000,B33
SP011,C074,Silver,35000,B02
SP012,C023,Bronze,18000,B33
SP013,C059,Silver,35000,B35
SP014,C028,Bronze,18000,B36
SP015,C077,Silver,35000,B07
SP016,C055,Media Partner,0,B14
SP017,C063,Silver,35000,B27
SP018,C033,Gold,60000,B17
