cycle_id,candidate_id,search_id,advanced_to_next_stage,stage_score,consultant_note
CY-2025,CD00133,SR2025-06,True,4,Great insights on AI.
CY-2025,CD00133,SR2025-11,True,4,Lost out at final stage — wants to stay in touch.
CY-2025,CD00133,SR2025-13,True,3,
CY-2025,CD00133,SR2025-15,True,4,Very practical.
CY-2025,CD00133,SR2025-22,True,5,Too salesy.
CY-2025,CD00133,SR2025-04,True,5,Compensation expectation aligned.
CY-2025,CD00133,SR2025-17,True,5,Standout cultural fit for the client.
CY-2025,CD00133,SR2025-08,True,1,Good moderation.
CY-2025,CD00133,SR2025-09,True,5,More examples needed.
CY-2025,CD00156,SR2025-16,True,4,Strong speakers.
CY-2025,CD00156,SR2025-13,True,4,Loved the case study.
CY-2025,CD00156,SR2025-05,True,3,
CY-2025,CD00156,SR2025-14,True,5,Good moderation.
CY-2025,CD00156,SR2025-22,True,5,Loved the case study.
CY-2025,CD00156,SR2025-06,True,1,Strong track record in PE-backed scale-ups.
CY-2025,CD00156,SR2025-15,True,5,Too salesy.
CY-2024,CD00226,SR2024-08,True,3,Loved the case study.
CY-2024,CD00226,SR2024-20,True,4,Great insights on AI.
CY-2024,CD00226,SR2024-22,True,5,More examples needed.
CY-2024,CD00226,SR2024-21,True,4,Loved the case study.
CY-2024,CD00226,SR2024-15,True,4,Wants equity component.
CY-2024,CD00226,SR2024-13,True,5,Very practical.
CY-2025,CD00322,SR2025-12,True,4,Great insights on AI.
CY-2025,CD00322,SR2025-11,True,1,Open to relocation.
CY-2025,CD00322,SR2025-03,True,5,Great insights on AI.
CY-2025,CD00322,SR2025-10,True,5,Great insights on AI.
CY-2025,CD00322,SR2025-04,True,2,Wants equity component.
CY-2025,CD00285,SR2025-03,True,3,Loved the case study.
CY-2025,CD00285,SR2025-19,True,4,Currently in another process — moving fast.
CY-2025,CD00285,SR2025-02,True,5,Very practical.
CY-2025,CD00285,SR2025-17,True,4,Too salesy.
CY-2025,CD00285,SR2025-14,True,4,More examples needed.
CY-2025,CD00285,SR2025-07,True,5,Too salesy.
CY-2025,CD00285,SR2025-01,True,3,Very practical.
CY-2025,CD00382,SR2025-21,True,5,Excellent peer references.
CY-2025,CD00382,SR2025-20,True,4,Very practical.
CY-2025,CD00382,SR2025-07,True,4,Too salesy.
CY-2025,CD00382,SR2025-18,True,5,Loved the case study.
CY-2025,CD00382,SR2025-09,True,5,Fit for international remit.
CY-2025,CD00382,SR2025-22,True,4,Standout cultural fit for the client.
CY-2025,CD00417,SR2025-10,True,3,Too salesy.
CY-2025,CD00417,SR2025-01,True,5,Wants equity component.
CY-2025,CD00417,SR2025-20,True,5,Good moderation.
CY-2025,CD00417,SR2025-04,True,4,Great insights on AI.
CY-2025,CD00417,SR2025-21,True,5,Compensation expectation aligned.
CY-2025,CD00417,SR2025-13,True,5,Good moderation.
CY-2025,CD00417,SR2025-14,True,4,Standout cultural fit for the client.
CY-2025,CD00417,SR2025-12,True,4,Currently in another process — moving fast.
CY-2025,CD00417,SR2025-08,True,5,Great insights on AI.
CY-2025,CD00071,SR2025-19,True,3,Too salesy.
CY-2025,CD00071,SR2025-09,True,5,Too salesy.
CY-2025,CD00071,SR2025-18,True,5,Open to relocation.
CY-2025,CD00071,SR2025-15,True,2,Currently in another process — moving fast.
CY-2025,CD00071,SR2025-01,True,4,Standout cultural fit for the client.
CY-2025,CD00071,SR2025-10,True,5,Great insights on AI.
CY-2024,CD00368,SR2024-01,True,4,Compensation expectation aligned.
CY-2024,CD00368,SR2024-17,True,4,Loved the case study.
CY-2024,CD00368,SR2024-14,True,5,Loved the case study.
CY-2024,CD00368,SR2024-04,True,3,Very practical.
CY-2024,CD00368,SR2024-16,True,2,More examples needed.
CY-2024,CD00368,SR2024-03,True,3,Very practical.
CY-2024,CD00368,SR2024-19,True,2,Fit for international remit.
CY-2024,CD00368,SR2024-05,True,4,Too salesy.
CY-2024,CD00368,SR2024-22,True,4,Good moderation.
CY-2024,CD00368,SR2024-07,True,4,Fit for international remit.
CY-2024,CD00147,SR2024-17,True,4,Very practical.
CY-2024,CD00147,SR2024-14,True,5,Very practical.
CY-2024,CD00147,SR2024-19,True,4,Excellent peer references.
CY-2024,CD00147,SR2024-20,True,5,Too salesy.
CY-2024,CD00147,SR2024-06,True,5,Too salesy.
CY-2024,CD00147,SR2024-22,True,5,More examples needed.
CY-2024,CD00147,SR2024-01,True,4,Wants equity component.
CY-2024,CD00147,SR2024-02,True,5,Too salesy.
CY-2024,CD00147,SR2024-03,True,5,More examples needed.
CY-2025,CD00408,SR2025-05,True,1,Too salesy.
CY-2025,CD00408,SR2025-17,True,4,More examples needed.
CY-2025,CD00408,SR2025-16,True,4,Very practical.
CY-2025,CD00408,SR2025-07,True,4,Great insights on AI.
CY-2025,CD00408,SR2025-10,True,4,Very practical.
CY-2025,CD00408,SR2025-21,True,5,Strong speakers.
