brief_id,client_id,candidate_id,cycle_id,received_at,priority_score,note
BR25PEUKD,CL040,CD00324,CY-2024,2025-06-25T20:22:00,4,Wants case study
BRQXOCVX8,CL040,CD00065,CY-2024,2025-06-25T18:54:00,1,New stakeholder — needs intro call
BRVTBEOFT,CL040,CD00080,CY-2024,2025-06-25T19:07:00,5,Follow up after event
BRL2OEUVO,CL040,CD00415,CY-2025,2025-06-25T13:28:00,3,Wants case study
BR2VD7PV9,CL040,CD00246,CY-2025,2025-06-25T14:57:00,3,Interested in demo
BRUWO3SPW,CL040,CD00019,CY-2024,2025-06-25T20:39:00,5,Hold for board meeting decision
BRES1I8CF,CL040,CD00016,CY-2025,2025-06-25T19:08:00,3,Follow up after event
BRG2ZM2XV,CL040,CD00350,CY-2024,2025-06-25T15:06:00,4,Interested in demo
BRVM6RQBP,CL040,CD00232,CY-2024,2025-06-25T20:49:00,2,Wants longlist within 10 business days
BREVMTXAB,CL040,CD00363,CY-2025,2025-06-25T13:43:00,4,Wants case study
BRIP3L8D6,CL040,CD00347,CY-2025,2025-06-25T09:58:00,1,Wants case study
BRQSNIVEE,CL040,CD00312,CY-2025,2025-06-25T19:31:00,4,New stakeholder — needs intro call
BRQ2M9MJN,CL040,CD00084,CY-2025,2025-06-25T19:07:00,3,Interested in demo
BR62UKAE3,CL040,CD00419,CY-2024,2025-06-25T13:55:00,3,
BR7PN63YK,CL040,CD00328,CY-2025,2025-06-25T10:49:00,4,Interested in demo
BRJGULH5N,CL040,CD00201,CY-2025,2025-06-25T09:03:00,4,Wants longlist within 10 business days
BR5GPGLAR,CL040,CD00127,CY-2025,2025-06-25T17:23:00,2,Asked about pricing
BR378NTO2,CL040,CD00269,CY-2025,2025-06-25T11:52:00,5,Follow up after event
BRQT9MAN5,CL040,CD00380,CY-2025,2025-06-25T10:38:00,3,Wants case study
BR7JTNF8O,CL040,CD00037,CY-2025,2025-06-25T20:05:00,5,Interested in demo
BRYYNZMID,CL040,CD00244,CY-2025,2025-06-25T18:26:00,2,Considering retained vs project
BRKKNO9ST,CL040,CD00200,CY-2025,2025-06-25T15:50:00,1,Considering retained vs project
BR3SSMGHD,CL040,CD00320,CY-2025,2025-06-25T13:51:00,5,Hold for board meeting decision
BROUE1QWP,CL040,CD00228,CY-2025,2025-06-25T14:12:00,4,Follow up after event
BR51EN6NX,CL040,CD00099,CY-2025,2025-06-25T16:38:00,1,Requested benchmark comp data
BRXN4KLZI,CL040,CD00141,CY-2025,2025-06-25T17:14:00,4,Interested in demo
BRILTWFFI,CL040,CD00181,CY-2024,2025-06-25T14:52:00,3,Wants case study
BRUF03V3V,CL040,CD00371,CY-2025,2025-06-25T19:23:00,3,Asked for off-record candidate review
BRAVM1RHD,CL040,CD00336,CY-2025,2025-06-25T13:17:00,3,Asked about pricing
BRTCRN942,CL040,CD00376,CY-2025,2025-06-25T13:00:00,1,Interested in demo
BRX3I7KX7,CL040,CD00105,CY-2025,2025-06-25T11:56:00,2,Asked about pricing
BR2UD9211,CL040,CD00028,CY-2025,2025-06-25T09:58:00,4,Considering retained vs project
BRBSAC7E3,CL040,CD00202,CY-2025,2025-06-25T18:38:00,3,Interested in demo
BRQJEX1OD,CL040,CD00118,CY-2024,2025-06-25T13:43:00,5,
BR1O5OAH6,CL040,CD00061,CY-2025,2025-06-25T12:54:00,3,Hot follow-up
BR36MBFNG,CL040,CD00030,CY-2025,2025-06-25T12:48:00,4,Wants case study
BR41TSXGI,CL040,CD00272,CY-2025,2025-06-25T21:00:00,4,Asked about pricing
BRMFMXJY8,CL040,CD00339,CY-2024,2025-06-25T09:10:00,1,Follow up after event
BRZ1EL4HN,CL040,CD00352,CY-2025,2025-06-25T16:27:00,5,Wants case study
BRRX6P72K,CL040,CD00414,CY-2025,2025-06-25T15:08:00,4,Follow up after event
BRH1CXKSL,CL040,CD00412,CY-2024,2025-06-25T11:55:00,3,Follow up after event
BR4RSN8E5,CL040,CD00319,CY-2024,2025-06-25T14:18:00,5,Requested benchmark comp data
BRPUCGSH4,CL040,CD00295,CY-2025,2025-06-25T10:53:00,2,Hot follow-up
BRRVAI0XQ,CL040,CD00186,CY-2025,2025-06-25T18:44:00,1,New stakeholder — needs intro call
BRMD01P13,CL040,CD00259,CY-2025,2025-06-25T20:48:00,1,Interested in demo
